Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
3600,440.55002,303.65378,7.2199636,60.272053,369.42075,336.88632,330.56955,462.2212,335.1107
7200,755.147,471.33768,26.306671,122.45039,614.72046,571.7767,500.43246,673.50653,547.31244
10800,945.30194,536.4909,43.371735,157.89375,746.2603,693.9443,547.3838,717.1843,640.1555
14400,1048.8364,549.0742,55.8476,174.86012,804.9079,737.1799,534.93475,684.4937,658.23956
18000,1096.0094,539.4478,63.918175,182.34283,821.2851,732.9129,502.87442,630.0302,637.6631
21600,1108.2623,522.8362,68.45992,185.81413,815.03375,704.56274,470.34406,578.92694,601.9614
25200,1100.4337,505.86856,70.80737,188.38698,798.1618,667.5294,444.23245,539.1077,564.3938
28800,1081.6088,490.6467,72.04415,192.43704,774.719,630.4608,425.01956,512.23126,528.47534
32400,863.02985,474.72296,71.0354,564.62134,169.2006,354.34164,406.63855,959.5609,99.31304
36000,1017.31,381.33197,68.915085,0,857.75275,523.28046,255.64006,0,692.09924
39600,1006.7969,471.68716,68.25153,83.31713,953.1525,578.49725,380.27954,238.86766,730.4325
43200,969.41156,484.39798,69.131775,146.55252,867.4905,587.4548,414.28003,385.274,636.1273
46800,936.7212,473.58865,70.21712,179.65971,785.5923,575.54144,411.928,454.32333,546.5341
50400,910.70374,458.5639,72.24785,195.33214,724.7725,556.0938,398.76715,474.81473,480.96576
54000,895.02893,446.58218,75.92204,205.53447,686.1762,537.82306,388.06348,472.53882,441.53317
57600,886.91864,437.8712,79.08973,212.50871,663.32874,523.2011,382.3261,462.40225,421.48718
61200,882.10657,431.36017,82.30559,218.3208,649.6669,512.4046,380.01834,451.76627,413.21097
64800,877.6535,425.8677,85.428566,224.5166,638.08673,504.2073,378.6934,444.68158,407.91742
68400,699.92346,420.25085,88.49908,603.3471,127.722946,256.948,376.75122,900.00214,81.43069
72000,902.0099,368.8014,92.35558,0,856.2164,449.4064,246.98076,0,676.06226
75600,930.8724,459.18365,98.33971,117.11839,954.96594,538.9456,390.19366,230.61104,718.6622
79200,932.8402,473.7695,105.65447,205.2942,867.46466,579.547,444.98874,380.8605,635.97656
82800,924.30426,464.12955,111.52202,248.15405,783.531,589.08276,452.0923,453.69693,555.73737
86400,913.8123,450.6653,116.753395,265.61218,722.50616,582.788,441.55716,477.7191,497.0107
90000,904.0223,439.44388,121.34392,271.91714,682.57025,570.04047,428.13104,477.47314,460.3738
93600,895.0798,431.09113,124.93867,274.00732,657.3161,555.8453,416.971,468.44678,439.99762
97200,887.0836,424.99536,127.71056,275.08636,641.481,542.7702,409.1333,458.45697,429.8849
100800,880.2593,420.47385,130.03677,276.4281,631.53253,531.95105,404.12726,450.48474,425.54593
104400,873.59094,416.61877,131.62047,277.389,624.4888,523.052,400.45154,444.6311,423.46332
108000,867.0964,413.18832,132.76645,278.17688,619.04944,515.8553,397.56573,440.53702,422.0855
111600,861.91394,410.45612,134.2949,279.8543,615.24036,510.62344,395.8097,438.08206,421.3607
115200,857.0647,407.98645,135.98306,283.1102,609.62396,506.6469,394.2972,438.42328,418.174
118800,722.644,403.39017,136.56541,701.21674,129.14783,294.40164,388.97156,931.2149,75.59651
122400,911.8664,389.8975,136.1698,10.472075,882.6481,473.1681,273.32776,0,685.77594
