Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
3600,486.1937,318.84445,26.15512,94.441345,399.21497,354.90912,352.53983,477.18527,354.53494
7200,827.1699,493.48727,59.709614,174.50235,659.2509,604.0673,534.4805,696.134,580.42975
10800,1027.0929,559.95337,82.23851,212.91551,795.96783,733.47925,584.08606,741.30975,678.9417
14400,1135.282,572.1699,96.929405,228.92787,856.3331,780.3035,571.2816,708.1793,699.0314
18000,1183.9633,561.5273,105.35482,234.21597,872.54254,777.0938,537.72,652.6575,678.29724
21600,1196.6354,544.0871,109.76601,236.19724,865.71136,748.72614,504.06418,600.82513,641.8652
25200,1187.9706,526.28906,111.35234,237.19849,847.7087,710.8917,476.7985,560.3611,603.1276
28800,1165.1208,509.5324,109.95717,237.68027,821.3289,671.3943,455.2304,532.3533,564.6514
32400,1019.73444,493.40497,106.544945,672.1369,214.84001,458.17953,436.84756,1033.5378,105.304184
36000,1174.6652,468.51135,103.4516,0,978.18243,621.5329,343.73035,8.330787,771.9058
39600,1131.3923,529.7457,101.87603,99.76905,1061.5121,655.69586,440.5766,247.3437,808.30725
43200,1042.0343,516.97174,100.5523,171.60674,931.3343,638.8484,447.8189,395.21356,687.2857
46800,975.5419,490.00928,99.01947,206.57773,819.15906,605.7243,426.12878,463.9424,575.02997
50400,934.70233,467.54086,97.57479,221.6695,743.42566,573.6227,405.0714,484.87823,496.77634
54000,912.24365,452.34302,96.30919,228.30502,697.473,548.71356,393.01233,482.83267,451.48572
57600,900.52124,442.49814,95.75041,232.24326,671.0031,531.5649,388.61716,472.9991,429.7605
61200,893.5516,435.6183,96.35515,235.7858,655.5602,520.33606,387.86514,462.43845,421.60648
64800,886.50244,429.5729,97.00902,239.2884,642.3591,511.97043,386.861,454.82806,416.326
68400,712.9928,422.53098,96.6781,627.51843,127.01681,269.7005,383.14224,919.7517,81.3885
72000,907.95917,372.43723,96.762375,0,856.7127,458.36124,252.73335,0,678.0462
75600,926.774,459.3094,98.64969,113.30172,951.4482,543.1641,391.51633,230.6291,719.5917
79200,917.094,470.10217,100.91864,196.20558,857.2814,577.8822,441.34332,380.166,633.42377
82800,897.7681,457.2624,102.03402,233.7355,767.06854,581.8466,444.08606,451.62875,549.08685
86400,874.9031,440.16553,101.480316,243.76196,698.68634,569.1238,428.283,472.67206,484.75623
90000,851.6347,425.0099,99.63871,241.50775,650.64075,549.3724,409.08636,468.58765,441.5621
93600,828.7736,412.64413,96.62329,234.79832,617.0792,527.9019,392.10272,455.34964,414.35315
97200,808.9948,403.33185,94.03784,229.19524,594.39307,508.65054,379.90472,441.95688,398.64066
100800,794.9618,397.0915,93.49071,227.72916,580.50555,494.05365,373.13208,432.227,391.1832
104400,785.2393,392.62433,94.20105,228.61644,572.0358,483.5539,369.48718,425.77795,388.10464
108000,776.9634,388.5859,94.76494,229.16655,565.74097,475.403,366.46335,421.04703,386.10062
111600,769.16516,384.62314,94.95282,228.95465,560.2678,468.58517,363.32687,417.1611,383.92233
115200,761.3243,380.68384,94.877884,229.34924,552.6214,462.5841,359.91,415.47632,378.75272
118800,536.8124,374.8121,94.27966,568.6655,117.28081,172.34921,353.20654,841.6567,68.006836
122400,733.9205,285.96805,93.99912,0,774.466,353.6076,172.87656,0,598.57043
126000,751.28973,389.4564,95.758736,103.29037,842.97797,450.69376,318.72946,210.69133,630.913
129600,735.56683,409.23834,99.11042,177.61827,739.1874,494.05914,376.43018,348.38666,547.39075
133200,710.5626,402.21948,102.90045,212.96486,644.8321,503.0566,382.50003,413.95847,465.9224
136800,694.511,390.89355,105.50588,226.91908,581.3971,496.1331,371.82028,435.20114,407.74426
140400,693.9691,383.08337,106.37359,232.21121,547.8803,486.4607,363.7533,436.43982,376.49222
144000,698.1906,377.6586,105.655426,232.6337,531.08844,477.01016,359.22137,430.12344,363.09857
147600,701.6148,373.29526,104.16553,230.87004,522.32,468.25644,356.2276,422.24838,358.8534
151200,702.29584,369.1827,102.222786,229.14754,514.421,460.013,353.09848,416.62982,355.4877
154800,473.17758,364.345,100.24233,551.24945,116.46651,156.57906,348.74893,827.6613,65.17578
158400,702.06836,273.6157,100.59094,0,769.5264,342.35626,166.84427,0,588.55304
162000,745.7662,386.2842,103.334854,111.91208,842.10724,452.0288,327.5597,215.18425,629.6821
165600,756.3713,412.1372,106.63299,191.5964,747.04834,509.4038,401.02863,358.6091,559.3307
169200,754.26086,409.13855,109.11971,227.82932,662.2163,530.3795,417.81973,427.99762,489.66168
172800,748.2379,399.10052,111.253654,240.14272,602.67645,530.43884,410.34958,450.21002,437.82544
176400,742.2954,389.74515,113.29021,242.78139,565.41486,520.6591,396.7911,449.34848,405.17038
180000,735.6616,382.0887,114.07439,240.96722,542.49786,506.62866,383.5331,439.72147,386.10773
183600,728.3067,375.89062,113.539185,237.4882,528.10846,491.7191,372.5826,428.748,375.273
187200,720.3051,370.6256,111.90793,233.43114,518.4208,477.5844,363.82315,419.22064,368.64655
190800,711.52527,365.82184,109.34671,228.9637,511.0391,464.7493,356.48303,411.59055,363.64008
194400,702.3984,361.34314,106.31806,224.48274,504.8524,453.387,350.1086,405.55258,359.10645
198000,694.4685,357.60425,103.854195,221.34474,500.18057,444.09534,345.21393,401.1764,355.33072
201600,690.14136,355.291,103.31204,222.47397,495.76532,437.8701,342.7874,400.45496,350.9997
205200,443.11896,351.5857,102.980255,537.2843,114.21832,121.80325,338.33804,806.20636,61.80939
208800,656.87823,240.41216,101.81256,0,730.87714,301.70807,132.45197,0,553.8175
212400,679.84436,356.90097,101.03876,98.42849,786.31464,405.9324,285.49854,202.77902,583.8133
216000,670.2764,382.22253,99.63977,166.18044,683.24567,457.4024,352.91388,335.6881,506.9632
219600,655.4297,378.90002,97.14941,195.2167,594.6011,473.99814,367.03674,399.22882,433.7941
223200,636.44507,367.13846,94.10327,201.07875,530.10986,469.1004,355.9574,417.53323,378.04886
