Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
3600,407.13306,292.66928,0.0077414336,36.15339,347.78873,323.42706,314.38245,451.16602,320.68622
7200,709.1703,457.30804,8.944219,90.26258,586.3695,551.0599,479.16168,659.2011,526.2461
10800,900.8818,523.846,24.6979,129.97005,719.45575,672.5381,528.811,704.6156,619.5987
14400,1011.0239,538.8062,39.45693,154.09387,782.5839,718.27686,521.1383,674.8984,641.1565
18000,1066.8469,531.4996,51.245174,168.51694,804.31415,717.9814,493.7632,623.2408,625.0257
21600,1087.977,516.88745,59.755253,177.7322,803.2677,693.9038,465.0905,574.4071,593.6257
25200,1088.8059,501.7196,65.97473,185.12653,791.3033,661.0581,442.11813,536.4501,559.9702
28800,1079.4027,488.6144,71.30525,194.35124,773.2173,628.4192,426.30527,511.64124,528.11255
32400,884.6444,474.782,73.838295,587.03156,173.20538,369.57297,411.1612,975.05634,100.70391
36000,1040.8383,390.14676,71.65041,0,866.3639,537.64764,267.22906,0,697.56464
39600,1028.6178,476.54404,69.157906,82.92323,961.7941,589.1318,387.81195,237.7936,735.8355
43200,978.3656,485.13544,67.31519,143.05048,869.1085,592.85645,417.9407,382.5727,638.0731
46800,876.2078,465.27768,65.82658,166.51788,751.5335,561.5056,398.6387,443.4203,527.0284
50400,765.5224,442.55524,66.83957,176.89697,650.9374,516.8463,369.35995,457.62042,435.50885
54000,727.9643,427.248,69.64188,187.51802,601.4731,483.84836,352.2913,453.91348,384.58102
57600,754.3308,424.92123,78.3346,208.51445,598.1381,475.4504,359.03458,451.0217,375.46884
61200,803.02875,429.2099,93.68719,236.77225,614.7111,484.24002,377.76157,452.19977,390.05347
64800,845.52905,432.0324,107.31225,259.71085,628.6978,496.03925,392.52576,454.38718,405.57202
68400,797.1619,432.57843,118.74477,727.4991,138.2542,345.9013,401.40836,982.25397,86.30521
72000,1029.2272,477.57193,129.63333,41.42051,985.1506,542.71326,353.72498,0,778.9898
75600,1049.0771,532.16705,140.83464,158.10703,1085.449,617.4138,466.21338,240.8576,817.98944
79200,1042.8662,520.37396,152.06819,259.9261,970.00836,644.91187,498.52637,400.7205,713.8877
82800,1029.0571,496.39493,160.5427,310.83194,865.1472,645.40344,494.17422,479.34058,617.31793
86400,1015.1348,476.62878,167.13892,331.86136,790.8764,633.676,479.42398,506.60635,548.4319
90000,1004.8066,464.08417,173.23215,340.7978,744.49426,619.1353,466.55795,508.59296,507.5224
93600,995.8797,456.20602,177.6441,343.883,716.23785,604.86945,457.02524,500.66418,485.9533
97200,985.7641,450.36954,179.52022,343.1442,697.8059,591.4201,449.47562,490.38174,474.99814
100800,975.2868,445.7275,179.9249,341.29935,685.29425,579.7864,443.71228,481.49115,469.67233
104400,962.15643,440.75488,178.01302,336.92294,674.35144,568.6723,437.5157,473.75,465.27466
108000,946.3421,435.2967,174.25673,330.6129,663.52454,557.7536,430.71255,467.0475,460.15622
111600,930.1834,430.06998,170.21523,324.58005,653.48157,547.87286,424.47144,461.71457,454.86908
115200,914.4981,425.23984,166.41551,320.94772,641.8609,539.164,419.02957,459.63605,447.25546
118800,805.9403,418.15808,161.33836,771.831,131.85751,352.2157,409.80035,982.83966,77.67104
122400,974.54,425.29324,155.14856,55.987633,912.04694,521.4892,308.79944,0,711.5163
126000,926.8706,478.90878,149.8347,144.04616,975.23694,574.07666,408.5404,221.69565,737.26685
129600,851.27496,462.11655,142.42128,216.23714,830.7275,575.43317,424.6255,366.31696,622.82806
133200,770.6779,430.8762,134.01788,242.44434,696.8684,549.10767,402.56857,432.72867,510.82968
136800,720.7127,406.9896,128.21408,250.10085,608.96466,519.6149,378.95398,454.18472,432.99323
140400,703.4501,394.40906,125.339294,254.25822,563.3928,498.93146,368.4342,456.19635,392.6243
144000,706.54877,389.7095,125.16053,259.2112,545.28467,488.61655,369.55484,452.52325,379.5994
147600,714.983,387.51453,125.78575,262.42075,539.3374,483.8879,373.52853,447.16272,379.65503
151200,721.74384,385.3109,126.02265,264.29776,534.92413,480.83685,375.72565,443.32425,380.94565
154800,555.7755,382.5691,126.814186,638.958,124.086754,229.56836,375.82715,897.9423,70.92234
158400,788.6869,341.27246,128.55937,0,839.7131,415.3113,234.97083,0,648.26624
162000,818.0696,431.99915,132.48022,129.33894,914.50134,514.07,380.55725,227.43802,692.7354
165600,820.00696,444.72403,137.93837,225.10553,807.28424,562.37305,441.85107,382.10092,615.9822
169200,814.4476,435.23053,143.0137,271.40854,714.17456,578.0596,453.22922,458.4621,541.16315
172800,806.8679,422.39297,146.84627,287.97754,649.4397,575.16437,443.86044,483.6776,485.55148
176400,800.2162,412.1261,149.82582,291.75565,609.16656,563.94714,430.09344,483.46286,450.42892
180000,793.60724,404.47897,151.1962,289.97223,584.7845,549.5607,417.35962,473.5215,430.01675
183600,786.91284,398.75574,151.19826,286.4787,570.0163,535.0047,407.28336,462.09805,418.71112
187200,782.92426,395.20474,151.7344,285.18893,562.55597,523.1551,401.2467,453.4043,413.80786
190800,783.1597,393.71863,153.8653,287.41632,560.78845,515.29065,399.13077,448.44092,413.37653
194400,787.26227,393.69226,157.49123,292.3089,562.9057,511.17923,399.6621,446.4206,415.61337
198000,793.53625,394.31796,161.80583,298.0964,566.9497,509.6315,401.23566,445.99863,418.81433
201600,797.79596,394.032,164.58563,302.53976,567.3386,508.05792,401.06802,447.02118,417.98175
205200,671.67084,390.6919,164.98769,715.9194,129.26253,295.34207,395.60876,936.66394,73.0535
208800,874.362,385.69302,165.01956,23.875359,882.7769,471.45944,278.5625,0,681.9201
212400,862.3298,453.30106,165.41943,137.82436,946.03784,544.77856,395.66776,222.80048,715.3894
216000,828.961,449.33383,166.66559,232.9092,816.4419,569.38727,432.2838,373.9087,620.0401
219600,796.799,429.89117,167.5293,277.68106,705.5084,566.9586,429.08792,448.09146,529.9448
223200,773.9213,412.79257,167.7841,293.68994,630.50903,553.19135,414.74048,473.06027,465.4025
226800,763.9278,402.39545,167.95122,298.49435,587.786,538.51965,403.8277,474.65198,428.3748
230400,764.67554,397.6712,168.64822,300.7615,567.8605,527.6239,399.79575,468.73926,412.67126
234000,769.3487,395.56705,169.53351,302.08228,560.0875,520.08887,399.15927,461.69254,408.84912
237600,773.0525,393.85593,169.64081,303.1123,554.71515,513.99677,398.39188,457.1444,406.8747
241200,641.5983,391.54965,169.38857,707.55273,130.50418,291.36963,396.35684,937.9856,73.73584
244800,870.6438,386.5444,170.72466,25.116976,894.77405,474.7468,283.27185,0,689.901
248400,887.44104,462.7452,174.65938,152.75269,970.18207,562.3724,417.89374,233.36368,736.13666
252000,880.1601,465.51077,179.884,257.98563,850.73285,601.1574,469.1842,393.81354,653.0498
255600,870.19025,451.38892,185.59135,310.8013,749.6719,611.2151,476.28525,474.40704,573.5809
259200,861.66595,437.37003,190.47644,331.54852,681.2038,605.9664,466.35532,502.38315,515.63007
262800,855.1629,427.35648,194.08412,336.7301,639.44147,594.0931,453.27002,503.56754,479.4539
266400,850.68994,421.0708,196.59515,336.66064,615.8647,580.7721,442.4512,494.87985,459.6366
270000,846.96387,416.9718,197.70465,334.931,602.97015,568.0673,434.3607,484.48755,449.6776
273600,843.77124,414.13824,197.91626,333.2616,596.18164,557.03735,428.6038,475.7612,445.01083
277200,840.83075,411.91376,197.49603,331.76944,592.63116,547.85565,424.29486,469.2825,442.6712
280800,837.4904,409.8182,196.40442,329.92346,590.3605,540.0674,420.54788,464.4827,440.79257
284400,834.07666,407.858,195.10698,328.1392,588.76447,533.56665,417.24347,460.91797,438.89676
288000,829.2861,405.5077,192.84175,326.48962,584.154,527.3873,413.41104,459.61072,433.66302
291600,704.7871,400.98187,189.19234,746.7384,132.53563,317.0008,406.058,956.34607,74.07015
295200,900.2435,397.2691,184.9192,46.004475,889.3536,490.04642,288.29547,0,683.49945
298800,879.07513,462.08145,181.77745,153.84361,951.3941,558.77185,403.23105,225.59186,719.09406
302400,837.4862,456.13873,181.45824,245.77052,819.6355,579.25934,437.34003,379.46658,624.8921
306000,787.9475,435.80774,183.22067,290.75687,701.5377,572.48126,432.4119,455.05573,532.9405
309600,728.41046,416.852,185.25613,307.1196,609.6703,549.5987,413.8237,479.4462,459.7668
313200,709.9118,405.7142,186.32933,311.94708,563.922,529.8752,400.577,480.57224,418.79733
316800,723.8705,402.12027,186.63313,314.29868,550.1946,519.77026,398.66327,475.2595,405.17737
320400,745.2698,401.4186,187.21904,316.30588,549.6879,515.7215,401.4793,469.23093,405.66306
324000,761.39984,401.02228,187.63582,318.77817,550.72577,513.9542,403.9875,465.83463,408.23764
327600,659.7672,400.20837,188.58795,740.60315,134.98373,312.9653,405.0647,960.08405,75.08534
331200,897.4152,415.28464,190.70682,53.161224,919.10693,497.66434,308.171,0,705.7374
334800,906.49585,481.536,192.29846,173.91724,991.1995,580.14734,434.7476,236.29474,750.93866
338400,889.3881,476.53995,193.71255,271.96207,862.98425,612.5117,477.38126,398.4892,662.9056
342000,869.69073,457.03845,195.1874,317.99185,753.9203,616.32715,478.01334,478.85196,578.00006
345600,852.2527,439.4465,195.93654,330.95917,678.8328,605.59143,463.62375,505.40475,515.1122
349200,838.9078,427.35233,196.45438,331.36115,632.3792,589.68365,448.10394,505.16345,475.34048
352800,830.2593,420.14902,197.26566,329.6575,606.2357,574.0022,436.51587,495.51086,453.6215
356400,823.3742,415.3591,196.95364,326.72806,591.4967,559.65,427.83667,484.15063,442.3133
360000,816.8958,411.6313,195.43279,323.1009,582.79877,546.96094,420.9999,474.19043,436.1684
363600,811.87317,408.85025,193.97557,320.60812,578.11444,536.7149,416.0823,466.8774,432.90228
367200,808.44226,406.7851,192.98627,319.38995,575.9474,528.83167,412.6331,461.89096,431.05948
370800,805.0734,404.706,191.60347,317.6397,574.4266,522.2473,409.28827,457.98727,429.0986
374400,802.0696,402.83072,190.35312,317.62805,570.9949,516.81104,406.37387,456.94702,424.66208
378000,674.52673,400.02374,190.2198,732.32104,133.1067,301.49628,401.89398,946.3911,73.608475
381600,880.21625,396.27737,190.1399,41.50028,893.1662,477.35422,283.89566,0,684.8878
385200,870.1693,464.77682,191.77136,161.29865,958.0672,553.3273,403.9966,228.35223,722.77094
388800,844.3513,463.02188,195.43272,262.48117,831.67755,582.66614,445.88586,386.018,633.26245
392400,819.2995,445.53937,198.75133,311.34576,724.1535,584.7343,446.50897,464.3004,547.8319
396000,800.91626,429.4836,200.52818,326.74414,651.2327,573.79144,433.45013,490.76352,485.6144
399600,794.6011,419.93628,201.93272,330.57004,610.33936,561.00494,423.07233,492.7975,449.79672
403200,799.7686,416.4834,204.48898,334.1546,593.0701,552.1264,420.20645,487.44583,435.56708
406800,808.89136,415.71268,207.31992,337.74768,588.08765,546.5339,420.87204,481.03003,433.22235
410400,816.6346,415.1736,208.93619,340.86752,585.2358,542.08875,421.20993,477.14752,432.5092
