T_Air,Q_Hou_Dem,P_PV,P_EL_Dem,QTWW,TpTWW,fTWW,Win_Speed,HGloHor
269.04999999999995,2864.018745,0.0,0.060676075,0.0,10.0,0.0,2.8,0
270.04999999999995,4629.231584,0.0,0.060966443,0.0,10.0,0.0,2.8,0
271.04999999999995,5415.984880000001,0.0,0.073122552,0.0,10.0,0.0,2.2,0
271.25,5648.438075,0.0,0.195681913,0.0,10.0,0.0,1.6,0
271.54999999999995,5603.37247,0.0,0.070088967,0.0,10.0,0.0,1.6,0
271.84999999999997,5447.87776,0.0,0.060989468,0.0,10.0,0.0,1.9,0
271.95,5261.69809,0.0,0.662796531,0.735,55.0,4.0,2.0,0
272.34999999999997,5067.2489399999995,0.0,1.718089439,0.105,25.0,3.0,3.0,0
272.84999999999997,4540.530339,0.0,1.593368186,1.715,40.0,15.0,3.1,0
273.34999999999997,4470.310417,42.75115786202979,1.125548278,0.0,10.0,0.0,2.4,9
273.54999999999995,5076.2185899999995,299.509855402522,0.246773001,0.105,25.0,3.0,3.0,48
274.04999999999995,4931.665940000001,751.597218327572,3.17976683,0.0,10.0,0.0,2.9,121
274.54999999999995,4661.132889999999,525.4469207699417,2.757797946,0.0,10.0,0.0,2.8,81
274.84999999999997,4425.261809999999,309.13165331887444,1.186459224,3.815,40.0,16.0,3.1,49
274.95,4262.71816,121.84001870687035,0.904606584,0.21,25.0,6.0,3.0,21
275.04999999999995,4164.95781,14.643258011666378,0.143089462,0.105,25.0,3.0,2.5,4
274.84999999999997,4109.11718,0.0,0.303364342,0.0,10.0,0.0,3.3,0
274.75,4064.7173499999994,0.0,0.420656458,0.21,25.0,6.0,3.3,0
274.84999999999997,3640.7200600000006,0.0,0.504331685,0.105,40.0,9.0,3.1,0
275.15,3623.0122650000003,0.0,1.312579448,0.315,55.0,4.0,3.4,0
275.04999999999995,4434.384239999999,0.0,0.294220954,0.0,10.0,0.0,3.2,0
275.25,4574.41708,0.0,0.468247384,3.705,40.0,10.0,3.0,0
275.54999999999995,4484.51682,0.0,0.352456336,0.315,40.0,9.0,2.8,0
276.04999999999995,4313.8323359999995,0.0,0.110733457,0.105,25.0,3.0,2.4,0
276.34999999999997,4137.04032,0.0,0.060960165,0.0,10.0,0.0,2.9,0
276.75,3979.6259499999996,0.0,0.061157276,0.0,10.0,0.0,3.5,0
277.04999999999995,3859.1056000000003,0.0,0.060546003,0.0,10.0,0.0,3.8,0
276.95,3784.3746499999997,0.0,0.142373737,0.0,10.0,0.0,4.5,0
276.65,3739.64059,0.0,0.131991164,0.0,10.0,0.0,5.2,0
276.65,3704.23576,0.0,0.360750882,0.0,10.0,0.0,4.6,0
276.65,3670.9590399999993,0.0,0.928339673,0.105,25.0,3.0,4.0,0
276.75,3635.5798039999995,0.0,1.103922097,0.105,40.0,9.0,3.5,0
276.75,3127.0697560000003,0.0,0.954121483,0.0,10.0,0.0,3.5,3
277.04999999999995,3013.40826,187.89424161860885,0.972209163,0.315,40.0,9.0,4.1,39
276.95,3793.800756,287.9962134947982,0.321855712,1.715,40.0,15.0,3.6,47
276.95,3926.98799,423.2509761460448,0.331652138,3.705,40.0,10.0,4.5,67
276.84999999999997,3838.91699,518.4812451843371,0.210751411,0.105,25.0,3.0,4.9,81
